!بسيطة يا متر! كانت وجبة ممتازة	bãsʲit ʲa ʲimit kʲæːnʲɪt wɛkbɨ mɪm tɛzɪ
abdel fattah al-sisi	ʕabdælf ælˈtæhˤisˤ
أنا وأخويا على ابن عمي، وأنا وابن عمي على الغريب	ʔana wauj ʕalaːlbnaʕmi wana wibnaʕmi ʕalʁaːriːb
أنابيب	anabˈiːb
أناني	enˈɛni
أنبوبة	æmbuba
أنبياء	ænbejə
أنجولا	aŋgoːla
أنشطة	antʃɨta
أنظمة	anzɪmɑ
أنهار	ɔnhˈɔr
أنوبيس	anouvis
أهبل	ɑhˈbɑl
أهلا وسهلا	ɑhlɑm vɑsˈhlæm
أوتوبيس	ʁutubiːs
أودية	aʊdɨja
أوراق	auɾe
أورام	awram
أورة	ura
أوروغواي	ʊɾɔguɛj
أوزبكستان	ozbakɛstɛn
أوض	owˈa
أوضة	oda
أوضة السفرة	otːɵs sofrˈa
أوضة النوم	ɔtɪ̞n nom
أوضة قعاد	oːld ɪt ɔːjːd
أوغندا	ɔʁɑnda
أوف سايد	afsˈaid
أوف وايت	ofahˈid
أوقات	awˈeːt
أوكازيون	ɔkˈasiˈɔn
أوكراني	okro˥˩ːnj
أوكرانيا	ukranja
أول	awal
أونطة	avanta
أونطجي	auanfɔgɛ
أوي	ʔɔ
أي	ˈeɪ
أي خدعة	æjˈe xɯnˈzˈa
أي خدمة	ʔ ajːeː xɪdˈme
أيام	aɪˈɛm
أيتام	ʔaːjteːm
أيرلندا	ɒjɾlɒnˈdɒ
أيسلندا	aːjslɒnda
أيمن أشرف‎	ɛjmɛnː ʔɑʃoːf
أيوب	ajjuːb
أيوة بقا	aiɪ˥˩ waˈlaʔ˨
أيِّد	ˈʔajd
أَتْمان	atmeːn
أَكْتَر مِن	ɑktɑr mɛn
أَنَا مُشْ فَاهِمْ	ænæm ʃfɑhɪm
أَوْي	dˈi
أُجَر	ogar
أُوض	ɔuɑt
إبراهيم	ibɾˈahim
إتلـَمّ	ʔɪtlɛm
إتمَشّى	tˈmɒʃa
إجابات	iːgəbɛt
إجابة	ægæːbæ
إدارات	iːdɑːrɑːt
إدارة	ido˩˥ːra
إرهابي	ˈɪɾhebi
إريتريا	ɾɛtria
إزازة	izˈɛzɑ
إزاي	izˈeɪ
إزيكم؟	ɪzˈzejɪkum
إزيَك؟	ɪ̞zzɛjɑk
إزيِك؟	ʔizˈzæjɪk
إستعجل	ɪstˈɑrgˈæli
إستنجلينا	ʃtangajna
إستونيا	estˈonja
إستَحمِل	ɑstɑˈhɑl
إسحاق	ɪtshˈɛd
إسرائيل	esɾaˈil
إسماعيلية	ɑsˈmɑʕlɪjɑ
إسمك ايه؟	esmaki
إسمي	ɪsmɪ
إسمِك إيه	ˈeːsmɪkˈi
إصدار	tʃiːzidoːr
إصدارات	ɪsˈtɑːrɑːt
إعصار	æˈsˈɑr
إفطار	ɛftɔr
إكرامية	ˈɛkɾɔmˈˈɛːjˈa
إكسلانس	ˌeksəlˈant
إكوادور	ˌekwadˈoɾ
إلا خمس دقائق	aːlːad ħamˈsˤaːdeː ʔaj
إلحقوني	aːlħauːni
إماراتي	emorotsi
إمام	amˈeː
إن الجندي لا يسأل لماذا يهجم إنه يسأل متى يهجم	ʔinna akun ðilaːjas ʔala maas jɑhŋim ʔinna jɑsˈʔal matiː jɑhŋim
إنت بتعاكسني	ɛntɛ betakis ne
إندونيسي	endonisi
إندونيسيا	ˌendoneˈθja
إنسان	enfˈɪn
إني	enˈni
إوعا	ewa
إيجاد الحَل	igaaːd ælħæl
إيجار	iˈgɔr
إيد	id
إيران	ˈɛɾɔn
إيراني	iloˈni
إيطالي	etˈɔli
إيطاليا	etˈolˈia
إيمي سمير غانم	ɪ̞mʲi sɛmʲirʁɛnɪ̞m
إِزّاي أقول ... بالعربي؟	æzæj ɑqɑl biaːlʕarab
إِنْتو	intu
ا بْْتسم	aptɛsen
ابتديت	ʔiptidiːt
ابراص	bɾˈɔs
ابن	ɛbnɛ
ابن أختي	ˈebnˈiʁti
ابن أخويا	ɛbnaxuja
ابن المتناكة	abnil mɛtnek
ابو الفصاد	ɑmɑ ælfɑsɑm
ابيض	abjot
ابْتسمت	obtɛsɛmt
اتجاه	ɛttɛgɛ
اتجاهات	ˈɪtigɛhejt
اتحرَّكت	ˈtɑtˈʃɑrt
اتخمد	etʁemˈɛd
اتخمد (اتْخَمَد)	ɑ̃n tʁɛ mˈal
اتعلّم	ɑtˁælˈlɑm
اتكتب	ˈɛtkatˈab
اتكتبت	e̞tkatabet
اتكرر	e̞kɾɾ
اتمضمض	ˈestmˈɑdmˈɑd
اتناشر	fʲitnˈosʊʒ
اتنين	ɪtniːn
اتنين واربعين	ɑtˈnɛːn waɾbʕæːn
اتنين وتسعين	tʰanæːn o tɑsˈʕiːn
اتنين وتلاتين	ɑtˈnɑːn tˈlɑsˈjːn
اتنين وتمانين	ʔatˈnːeːn tamniːn
اتنين وخمسين	ɑtˈniːn ħamsˈiːm
اتنين وسبعين	ɪtˈnɪːn ɑːsˈbɑjn
اتنين وستين	ɛtneːnuz tˈtiːm
اتنين وعشرين	ɑtˈnɑːn waʕɪːn
اتولدت	ɛtuaːradˈe
اجراءات التقشّف	ɪ̞gɾɑhʊ̞ðɯ̞ tʊ̞qːɑsʃʊ̞w
اجمل	ɑgmɑl
احتل	ɑħtɑl
احنا	ɑħma
احنا هنحس	ɑħnɑ nisˈs
احْياناً	ɑħjɛːnɑm
اخبارك ايه ؟	axbˈaːrk e
اختيار	e̞xt̪iɒːɾ
اخد (اَخَد)	axˈad
اخرام	ɛxrɔm
اخرس	ɪxrɔs
اخرسوا	æxrɑsˈvˈ
اخرسي	ɑxrɑsi
اخص	ˈaɪxs
اخطبوط	auɣtobut
اخلاق	axlaʔa
اخوات	ɑxˈwe
اخواتي	ɛxwɛtj
اخيراً	æxˈiːrɑ
ادالنا	ˈɛdːɑlna
اداها	adˈdeːh
ادتني	ʔˈtˈtʁˈni
ادخل	ʔˈtˈʁol
ادهم	ædæm
اديني	edini
اربعتاشر	ɾɒpətɑːrʃaːr
اروح	roːħ
ارْمل	ərmæl
ارْملة	ɑrmɑla
ازاز	ɪzˈiz
ازاي	zˈe
ازاي أروح المطار ؟	ɑzˈzɑ ɑruːħ ælmætˈɑːr
ازاي أروح لمحطة مصر ؟	ɪzˈli ɑrˈh liː maħˈtˤ mɑːsˈr
ازاي اقدر اساعد حضرتك	ɪzˈzɑːj ˈɑɑˈdˤɾ ˈsɑhɑt ħdˤrk
ازيك	ɪzˈajæk
ازيك يا محمود، عامل ايه النهاردة؟	æzˈsˤæija kæmˈa ħmuːd ʕɑmɪl ænˈnɑ ħardˤo
ازيكم	æzˈajˈakˈam
اسباجيتي	ʃpˈˈagˈeti
استابينا	estabina
استاتيكا	istˈatˈikˈa
استاد	ˈɪstˌeɪd
استاكوزا	ɛstɛkʊzɑ
استرالي	ztrɔli
استعجل	astɑːgɛl
استغرب	ɪ̞sʲtɑːgɾʊ̞b
استغماية	astoɣɔmmɛjɐ
استناها	ɛstamneːhɑ
استنته	ɛstaneto
استنه	estanna
استنوا	estannu
استنونا	estannuna
استنى	estɑŋna
استني	ɛstanni
استهلاك	ɪstɪxlɛk
استيعاب	ɑstʕʕab
استيكة	asʲtʲika
اسد	ɑsˈd
اسرائيل	ɪsrˈɑːˈil
اسطى	osta
اسف	ɛnsɛf
اسقف	ɛsˈɔf
اسكتش	ɪskˈɛtʃ
اسكتي	sˈkˈti
اسكندراني	is̺kãn̪d̪aɾoni
اسكندرية	skandəɾia
اسم الشارع ده ايه؟	es mis θera di
اسماعيل	ɑsˈmˈʕiːl
اسمعي	ɑsˈmˈʕi
اسمك ايه ؟	ʃnak e
اسمي بِن.	ʃon volis ben
اسود	ɪ̞sˈid
اسْتِنْتاج	istimteːg
اشتباك	æʃtebæk
اشطا	ɛçta
اشطة	eʃto
اشكر	tʃkʊr
اشمعنى	tˈəsmɜnˈa
اشوفك بعدين انشاء الله	ʔaʃufaːd baʕad ɪnʃaː ælˈlɑ
اظن	azon
اعتقد	ɑɾtɑxɯb
اعتكاف	ɑʕtkk
اعوم	ɑːˈum
اغسل	ɣˈsɛl
افتكر	aftɯ̞kɯ̞r
افرض	fɾjdu
افريقيا	afreki
اقدر	ɑqdɑɾ
اقدم	aʔadˈm
اقدًم	aadˈm
اقريها	ɛɬˌiːnˈ
اقعد	ɑːlˈʕɑd
اقف	af
اقفل	hˈɛfɛl
اقمشة	aqmatioŋ
اقول لها	ʔaeulha
اقول لهم	ʔaʔlhm
اقولك	laʔumɛq
اقولها	ɑɔlɑ
اقولهم	aːqlhom
الأتوبيس	elotːoˈbis
الأخبار	ɛlˈakːbɔr
الأرجنتين	ælʔarʒntiːn
الأردن	elordon
الأسبوع إللي جاي	zgu
الأستاذ مصري	ælʊstæz mɑsˈɾi
الأطباق	aːlʔbɑːʔ
الأقصر	enosɔr
الأكل	ælˈʔakl
الأكلة دي طعمها وحش	ælʔadˈdiː tɑːmɑh waħaːʃ
الأهلي	ælˈʔælæ
الأوضة دي ما فيهاش شباك	ælʔðɑ dʒma fħʔækʃk
الإسماعيلية	ælˈsmæælˈlæjæ
الإمارات	ælˈmɑːrɑːt
الإِتْنِين	ɪlɪtniːn
الاسكندرية	elleskonduktorotʃampiono
الاقْصُر	ɛlɔksɔɾ
الباب	ɛlbˈɛv
البابا تواضروس الثاني‎	ɛlbɔbɔtɔ ɔðɾʊ sɛteːni
البحر الأبيض	ælˈbɑħr ælˈbɪt
البحر الأحمر	ælˈbɑħr laħmɑr
البحر الاحمر	ælˈbaħr ælˈħamr
البحر المتوسط	ælbæħr ælmɑtˈndʒæst
البحر هادي النهارده	ɪl baħar heːliː mɑhɑrˈd
البحرين	læɑːlæˈħæeːn
البرازيل	ɛlbɾɑzˈil
البرتغال	elbɔrtɔgɛl
البرج	ælburg
البعبع	aːlbaːba
البوسنة	ɛlbˈosla
البوسنة والهرسك	ælbosna o ælħarsak
البوليس	ɛtbɔlˈiːs
البيت الجديد كبير قوي	ɑlbeːt aːlgɪtˤiːd kɪbˈiːr ˈawj
التالتة تابتة	etˈtˈɒl ta tˈɒtˈɒb ta
التبت	ltəbet
التشيك	eltʃik
التقاليد	ltˤqliːd
التلج	etːˈalˈg
التلفون بايظ	tˌelɨfˈoŋ bˈoɪʒ
التِّجارات	ˈetːegˈaˈrɒtˈ
التِّجارة	etːegɔrɔ
الثقافة	æsˈɑqɑfˤɑ
الجابون	ælgæbuːn
الجامع	ɛlʄɛma
الجامع الأزهر	β̞ilgæmæn d̪ɑzχoɾ
الجامعات العربية	ælgmɑlæt ælʕʔarˈbiː
الجامْعة	ælgɑːmʕah
الجاية	elgaja
الجزائر	ɪ̞lgəzɛjɪ̞r
الجزّار	ælgzˈɑːrd
الجو	ɛlgˈaʊ
الجو برد	la go bərˈid
الجو حر	ælgaoː ħɑr
الجو صهد	ælˈgæw sˤɑhˈd
الجو مصهد	ælˈkæm sˤɑħˈhɑt
الجيزة	ɛlˈtʃˈ
الجيم	elʒem
الحساب	ælħæsiːd
الحق!	elfa
الحقوني !	aːlħaːquːniː
الحمد لله	alˈħamd ɾɪ ælˈlæm
الخليج	ælħæliːg
الخليج العربي	ælˈxæliːæ ælˈʕɑrɑb
الدح	edˈa
الدرس ده	ɛ dɛrse da
الدفع عند الاستلام	ˈdˤafʕ ʕand ælˈstælˤm
الدفعة	adːɑfˈʕa
الدفنة	ˈɛtdˈafnɑ
الدمرداش	ɪ̞dːɪ̞mʲɪrdʲɪʃ
الدنمارك	atðemɑɾk
الدنيا بترخ	ɪldɔnia betrox
الدنيا بتمطر	ɪldʊniɑ betmaːtˤar
الدنيا صهد	ælˈduːniː sˈɑhæd
الدنيا مغمية	kelkˈniː mɣæmmˈmɪː
الدول	lnd̪iːnln
الراجل ده	ɾɔgɛldˀːa
الربيع	beɾɾobia
الرِّياضة	errˈioːdˈo
الزعما	ˈœvʁdoʁamˈɛn
الزَّحمة	ælˈzæm
السادات	astʁˈdeːt
الساعة كام ؟	eszeːkeːm
الساعة كام لو سمحت ؟	ɪsˈsɑkɑ keˈlɑːʔ lwsmħd
الساعة واحدة وخمسة	sˈaʕ waħda wˈxɑmˈsˤa
الساعة ١	asˈaː waħdɑ
الساعة ١:٠٥	æsˈsaːʕ waħad waħamsˤa
الساعة ١:١٠	saːma ħadaː waːʃara
الساعة ١:١٥	alsˈaːh waħdɑ urba
الساعة ١:٢٠	æsˈaːʕ waħda utllt
الساعة ١:٢٥	ɑsˈʃɑ baħadɑ waˈnɑsˤl xɑmˈsˤl
الساعة ١:٣٠	es sˈal ˌɐɾədˈaʊnʊʒ
الساعة ١:٣٥	ælsˈaːʕ waħdɑ waˈnɑsˤ kʰamˈs
الساعة ١:٤٠	ɪː saʕa nɪnna lɪːt lɪlt
الساعة ١:٤٥	alaːh ʔitˈnˤinː ælˈlɑr ɑfˈtˤoʔ
الساعة ١:٥٠	ɪlsˈɑːt niːn ælˈʃær
الساعة ١:٥٥	æsˈɑːt neːn ælˈlæxamsar
الساعة ١٢ بلليل	beːs ˈsɑhət maːʃ hˈor biːlˈdeːl
السايس	istˈeˈis
السعودية	alˈsˤʕʕdˤɪ
السلفادور	elsˌalβadˈoɾ
السما زرقة	ɪsˈsaːna zaˈrqˈa
السما فيها نجوم كتير	ɪts sɑmɑ fʲiħag nɛ kɛtljr
السماء صافية النهارده	æsˈmɑ sˈtˤi ælnɑhˈrdɑ
السنغال	ʔessenaʁeʔal
السودان	estˈudeˈen
السويد	ʁˈɛstlsˈʁˈidˈɛ
السويس	ˈeɪsswˈiːs
الشاشة بايظة	e̞ʃ ʃæˈʃɒ bɒːjzɒː
الشام	ɛʃˈɛm
الشتا	eʃʃitɑ
الشتا بيبوظ الطريق	æʃʃitˤ biː boːz ælˈtˤɑːrɪ
الشحرورة صباح	æˈʃħruːr sɑwɑh
الشرق	æʃˈɑr
الشغل	aʃo
الشمس طالعة	ɪʃtʃɑˈmɛs talaː
الشهر العقاري	ælʃɑːhr ælʕqaːr
الشوط الأول	ælʃoːt ælawːl
الشوط التاني	es tʃotʃ tˈe mi
الشيشان	ˈɪtsʃˈiʃˈɛn
الصبح	sɒp
الصبح بدري	kalsˈwbaħ badˈri
الصعيد	ælsˈʔæd
الصعيديين	aːsauːðˈɛiːn
الصوفية	ɛstofɛja
الصومال	essɔmol
الصين	essĩn
الضَّفّة الغَرْبِية	ɪtdaf ælɣɑr pɪːˈjɑ
الطريق مش سالك بسبب التلج	ætːɾɪj mɪn bɪr bsbæb ælˈlæk
العالم	ælˈʕælæm
العام	ælʕæm
العامية المصرية	ælˈmɑːmiː ælˈmɑːsˤriːɑ
العدالية الإجتماعية	aːlʕaːdaːla aː aːktumʕaʕija
العراق	ælʕæriːʔ
العراقية	ælʕɑrɑːʔaj
العربية	æˈlˈaːrɑːbˈeː
العريش	ælˈʕaʕaljːæʃ
العشا	elasa
العصر	əˈlɑːst
العصور	ælʕasˈŋuːr
العلمين	ælʕælæmɪn
العلنية	feːrˈlʕalaja
العملية ناشفة	ælʰaːmæliː næʃfæ
العيد	ˈælˈʕadˈ
العَفو	ælˈʕaf
الغيط	ɪ̞mɪ̞ðɪ̞t
الفاتيكان	ælfætˈkɛːn
الفراعنة	æalfarʕna
الفرافرة	ælfræfra
الفرخة دي طعمها حلو	ælfærħ diː tˤɑmɑː æl
الفسطاط	ɛlfustat
الفصحى	ælfæshɑː
الفطار	ælftɑːr
الفلاح بيزرع في الغيط	lafalaːħ biː eːzɾaː fijː
الفلبين	ˈelfilipˈin
الفين	ɑlˈfine
الفيوم	ælfiːjɔːm
القاهرة	ælqɑːhɑrɑ
القبول	aːlqoːbuːl
القرد في عين أمه غزال	ælʔard feʕan neɪm ɣaðˈʔil
القِدرة	ælʔidˈra
الكاتب	ælˈkæːtæb
الكاميرون	ælˈkæmæron
الكبير اوي	il kibˈi aˈvi
الكتاب	ælkætæv
الكتب دى طويلة	el kotob dʒetsu ilo
الكرسي كبير خالِص	ɦɛlqurˈsik bɪr xɔlos
الكشري	ælkoːʃri
الكلام	ælˈkælæm
الكونغو	elkongo
الكويت	ɛlkwit
اللضا	alɑdɑ
اللغات	ˈelʊɣʁˈɛt
اللغة العربية	ɛllˈoaˈ dˈaːɾˈɔvɪ
الله يباركلك	allˈo ˈʋeːdek lˈɛk
الله يخليك	ɔ ælæj xɛlɪk
الله يرحمه	ælˈlɑjɑrˈham
الله يسلمك	ʔɑllɑj sɛlˈlimɛk ʔɑllɑj sɛlˈlimæk
الله يعينك	ɑllɑj ʕiːnɯ
الله يهنيك	ælboð hæmɪ̞k
اللي	la
اللي انت عايزه	elˈemtˈaɪzˌul
اللي انتي عايزاه	jlintai
اللي تشوفه	la lestʃˈufˈ
اللي تشوفيه	tˈə lə tˈyːfi
اللي يعيش ياما يشوف	æl jæˈʕ jɑmɑ jɑshuːf
الليلة دي	aːllad
المالديف	ælmaːldˈiθ
المانيا	ælmænijæ
المجر	ɛlmˈogoɾ
المحلة	ælˈmæhlæ
المحلة الكبرى	ælmaħæl ælkbrɑ
المدينة دي ليها تاريخ طويل	ælmdiːn dˤiːleː tæɾiːx tɑˈjˤl
المذيع	ælmæzja
المسجد	ælnæskit
المصادر	ɛlmɑsadɑr
المصري	ælmsæri
المصريه	almɑsˈraːjiː
المصريين	ælmæsˈɾiːn
المطبخ	ælmatˈbɑx
المعادي	ælmaʕaːdi
المعلومات	ælmaʕlˈmaːt
المغرب	ælmaːgˈrɑb
المقالة	ælmaqɑlɑ
المكان	ælmaːkæːn
المكسيك	ælmækˈsiːk
الممثل	elmomassˈɛl
الممثل الكبير محمد صبحي	ælmæmæs ælˈkæbɪr maħæmæd sˈbˤħæ
المملكة المتحدة	ælmamlaka ælmtˤħa
المنصورة	elmonsuro
المنيا	ɛlmɛnjɑ
المنيل	ælmænijæl
المهم	ælmæm
المواعين	ælmawaːjˈin
الموزة احلي حته في البقرة	ælmuːzæ ʔaħlaħ itːaːfbaʕra
الميه	ɪlmɑjːum
المُدُن	ilmodon
الناس	ˈnes
النت	enˈnet
النجده !	aːlnagda
النرويج	ɛndnɛɾuːiːg
النسخة	ɛt-nˈoːsˈa
النقرس	ajnɑros
النقل العام بكام؟	ana liːd ʕambe kæm
النمر الأمريكي	ælˈmɾˈ ælˈmɑriːˈki
النمسا	ennemza
النهاردة	ənːəjɑq
النهارده	naːrdɑ
النيجر	ænnæjgɛr
النيش	ɛlniːʃ
النيل	ælˈniːn
الهند	ˈɛlhˈɛndə
الواحات البحرية	ælwħæt ælbħæriː
الواد البصاص عمال يبص علينا	la bsasˈhɑːr maːliː gosˈh ɑlˈliː
الوادي الجديد	ɛlwadˈiː alkaʃ
الوسط	ɛlwəzæst
الوقت	ɛlwˈat
الولايات المتحدة	ælˈlæja ælˈmɑːtˤɑhˤɑdˤɑ
الولد دا صغير	ælʊ ɑlætdæ suɣajjæɾ
الولدين دول مصريين	ælwældiːn doːr mɑsˈtɑrɪjːjæːn
اليابان	ɛliabˈɛn
اليمن	ɛlijˈamɛn
