!	kɑŋ˥˥tn˥˩ kɑŋ˥˥
"apple"怎么说？	æpɪl˨ tsɑŋ˨˩˦mɤ˥˩ʂʰu˥˥
2022年北京冬奥会正式开幕！	aɻ˥˩lɪn˧˥aɻ˥˩aɻ˥˩ljɛn˧˥ peɪ˨˩˦tɕjɑŋ˥˥ tʊŋ˥˥ɑʊ˥˩  ʈʂɤŋ˥˩ kʰaɪ˥˥mu˥˩
20世纪90年代	ɑɻ˥˩ ʂɚ˧˥sɯ˥˩ ʂɚ˧˥ni˨˩˦taɪ˥˩
20投	aɻ˥˩ ʂɚ˧˥tʰɑʊ˧˥
21	aɻ˥˩i˥˥
21世纪	aɻ˥˩ ʂɚ˥˩i˥˥ tɕi˥˥
21路和106路都到北京大学	ʂɚ˧˥xɤ˧˥i˥˩pjaɪ˨˩˦lɪŋ˧˥ljoʊ˥˩ lu˥˩ ttpɛtɕɪn˥˥ ta˥˩ɕ
22	aɻ˥˩aɻ˥˩
23	aɻ˥˩san˩
24	aɻ˥˩sɯ˥˩
24小时	aɻ˥˩ʂɚ˧˥sɯ˥˥ɕjɑʊ˨˩˦ʂɚ˧˥
25	aɻ˥˩ ʂɚ˧˥u˨˩˦
25岁的企业家不同于50岁的企业家。	aɻ˥˩ʂɚ˧˥u˨˩˦ sweɪ˥˩ ttʰtʰi˨˩˦tɕja˥˥ pu˥˩tʰʊŋ˧˥y˧˥ʐʊ˨˩˦ʂɚ˧˥sweɪ˥˩ ttʰi˨˩˦tʰe˨˩˦ʰ
26	aɻ˥˩ljoʊ˥˩
27	aɻ˥˩tɕʰi˥˥
28	aɻ˥˩pa˥˥
28号晚上我没事，你呢？	ɚʂɚ˥˩pɑʊ˥˥ xaʊ˥˩wan˨˩˦ʂan˥˩wɑŋ˨˩˦meɪ˧˥ʂɚ˥˩ ni˨˩˦
29	aɻ˥˩tɕjoʊ˨˩˦
2倍瞄准镜	ljɑŋ˨˩˦peɪmjɑʊ˨˩˦ʈʂʊn˨˩˦tɕɪŋ˥˥
2次元	aɻ˥˩ ɥœn˧˥
3	san˩
30	san˥˥ʂɚ˨˩˦
30年代	sansɯ˥˩ʂɚ˥˩ntaɪ˥˩
30年以前	sasɯ˥˩ʂɚ˥˩njɛn˧˥i˨˩˦ ɕʐan˥˩
31	san˩˦i˨˩˦
318学运	san˥˥jɑʊ˥˥pɑ˥˥ ɕɥœ˧˥yn˥˩
32	san˥˥aɻ˥˩
33	san˩san˩
34	san˥˥sɯ˥˩
35	san˥˥w
36	san˩˩˦ljoʊ˨˩˦
37	san˥˥tɕʰi˥˥
38	san˥˥pa˥˥
39	san˩˦tɕjoʊ˨˩˦
3d眼镜	san˥˥ti˨˦ jɛn˨˩˦ tɕɪŋ˥˥
3天之前	san˥˥tʰjɛn˥˥ʈʂɚ˥˥ ʈʂu˥˩
3天之后	san˥˥tʰjɛn˥˥ʈʂɚ˥˥xoʊ˥˩
3天以前	sɑŋ˥˥tʰjɛn˥˥i˨˩˦
3天以后	san˥˩tʰjɛn˥˥i˨˩˦xoʊ˥˩
3岁的汤姆希望13岁的哥哥放慢脚步，以便汤姆能跟上他。	san˥˥sweɪ˥˩ tmən˧˥mu˨˩˦ ɕi˥˥  ʂɚ˧˥saɪ˥˥ʂkɤ˥˩kɤ˧˥ ɕjɑʊ˨˩˦pu˥˩i˥˩pjɛn˥˩ tmən˧˥mu˥˩nɤŋ˧˥kɤŋ
3月1日是休战的最后期限	san˥˥ɥœ˧˥i˥˩ʐɚ˥˩  ɕjoʊ˥˥ ʈʂan˥˩   xoʊ˥˩tɕʰi˥˥
4	sɯ˥˩
4 維度曲面的二次曲率形式	tsʰɯ˥˩   ʰ  aɻ˥˩tsʰɯ˥˩ly˥˩ ɕɪŋ˧˥ ʂɚ˥˩
40	sɯ˥˩ʂɚ˥˩
41	sɯ˥˩ i˥˥
42	sɯ˥˩ kɑʊ˥˩
43	sɯ˥˩
44	sɯ˥˩
45	sɯ˥˩
46	sɯ˥˩
47	sɯ˥˩ tɕʰi˥˥
48	tsʰɯ˥˩pa˥˥
48萬英磅賈博士	sɯ˥˩ʂɚ˧˥ pa˥˥uən˧˥pɑŋ˥˩ tɕja˨˩˦ ʂɚ˥˩
49	sɯ˥˩ tɕjoʊ˨˩˦
4倍瞄准镜	sɯ˥˩ mjɑʊ˨˩˦ʈʂuən˥˩
5	u˨˩˦
5 維複線性空間	u˨˩˦ ʂu˨˩˦fu˥˩kʰʊŋ˥˥tɕjɛn˥˥
50	u˨˩˦ʂɚ˥˥
502	u˨˩˦tɪŋ˥˥aɻ˥˩
50[slash]50 防守	u˨˩˦ʂɚ˧˥pɪ˨˩˦u˨˩˦ʂɚ˧˥fɑŋ˨˩˦ʂoʊ˨˩˦
50嵐	u˨˩˦ ʂɚ˧˥lɑn˧˥
50年代	u˨˩˦ʂɚ˧˥ntaɪ˥˩
51	u˨˩˦i˥˩
52	u˨˩˦aɻ˥˩
53	u˨˩˦san˩˥
54	u˨˩˦sɯ˥˩
54式	u˨˩˦sɯ˥˩ ʂɚ˥˩
55	u˨˩˦u˨˩˦
56	u˨˩˦ljoʊ˥˩
57	u˨˩˦tɕʰi˥˥
58	u˨˩˦pa˥˥
59	wu˨˩˦jɑʊ˨˩˦
59式	u˧˥tɕjoʊ˨˩˦ʂɚ˥˩
6	lio˨˩
60	ljoʊ˥˩ ʂɚ˧˥
61	ljoʊ˨˩˦i˥˥
62	ljoʊ˥˩aɻ˥˩
63	ljoʊ˨˩san˩
64	ljoʊ˨˩˦sɯ˥˩
65	ljoʊ˨˩˦u˨˩˦
66	ljoʊ˨˩ljoʊ˨˩
666	ljoʊ˥˩ljoʊ˥˩ljoʊ˥˩
67	ljoʊ˨˩˦tɕʰi˥˥
68	ljoʊ˨˩˦pa˥˥
69	ljoʊ˨˩˦nɕjoʊ˨˩˦
6月	ljoʊ˥˩jɤ˥˩
6的4倍是多少？	ljoʊ˥˩ sɯ˥˩ beɪ˧˥ ʂɚ˥˩  ʂɑ˨˩˦
7	tɕʰi˥˥
70	tɕʰi˥˥ʂɚ˧˥
71	tɕʰi˥˥
72	tɕʰi˥˥aɻ˥˩
73	tɕʰi˥˥san˥˥
731部隊	tɕʰi˥˩sian˥˥i˥˥ pu˥˩tɕʰi˥˩
74	tɕʰi˥˥sɯ˥˩
75	tɕʰi˥˥wu˨˩˦
76	tɕʰi˥˥ljoʊ˥˩
77	tɕʰi˥˥tɕʰi˥˥
78	tɕʰi˥˥pa˥˥
79	tɕʰi˥˥tɕjoʊ˨˩˦
7折	tɕʰi˥˥ʈʂɤ˧˥
8	fou˥
8 倍变焦	pa˥˥peɪ˥˩pjɛn˨˩˦tɕjɑʊ˥˥
80	pa˥˥ʂɚ˧˥
80米	fa˥˥ʂɚ˧˥mɪŋ˧˥
81	pɑ˥˥ji˥˧
82	pɑ˥˥a˥˥aɻ˥˩
83	fa˥˥ʂɚ˧˥san˩˩˦
84	pa˥˥sɯ˥˩
85	pa˥˥u˨˩˦
86	pa˥˥ljoʊ˥˩
87	pa˥˥tsʰi˧˥
88	pa˥˥pa˥˥
89	pa˥˥tɕjoʊ˨˩˦
8倍瞄准镜	pa˥˥peɪ˥˩mjɑʊ˨˩˦ʈʂuən˧˥
8小时工作制	pa˥˥ɕjɑʊ˨˩˦ ʂɚ˧˥ kʊŋ˥˥tsuɔ˥˩
9	tɕjoʊ˨˩˦
90	tɕjoʊ˨˩˦
90年代	nɕjoʊ˨˩˦lɪŋ˧˥ntaɪ˥˩
91	jɛn˥˩i˥˩
911	jɛ˨˩˦ joʊ˥˥
92	tɕjoʊ˨˩˦aɻ˥˩
93	tioʔ˨san˥˥
94	tɕjoʊ˨˩˦sɯ˥˥
948794狂	tɕjoʊ˨˩˦sɯ˥˩ pa˥˥tɕʰi˥˥  tɕjoʊ˨˩˦sɯ˥˩ kʰw˥˥
95	tɕjoʊ˨˩˦u˨˩˦
96	tɕjoʊ˨˩˦ljoʊ˥˩
97	tɕjoʊ˨˩˦tɕʰi˥˥
98	tɕjoʊ˨˩˦pa˥˥
99	tɕjoʊ˧˧
9·11”恐怖袭击事件，受到了各国人民的共同谴责	jtkʰʊŋ˨˩˦pu˥˩ɕi˧˥ ɕʂɚ˥˩ tɕjɛn˥˩ʂoʊ˥˩tɑʊ˥˩ʰkɤ˥˩kuɔ˧˥ʐən˧˥ mɪŋ˧˥  kʊŋ˥˩tʰʊŋ˧˥ tsɤ˧˥
9号踢球给他的队友	tɕjoʊ˨˩˦xɑʊ˥˩tʰi˥˥tɕʰjoʊ˨˩˦  kʰ tʰweɪ˥˩ joʊ˨˩˦
9月9号早上六点	ɕjoʊ˨˩˦jɛ˥˩ ɕxoʊ˥˩tsɑʊ˨˩˦ʂɑŋ˥˩ljoʊ˥˩
<书面语>遭遇或时运，一段时间内的整体情况（多指好的）人生有许多无可奈何的际遇，我们可以尽力去面对它，或尽力去忘掉它。	ʐən˧˥ʂɤŋ˥˥  ɕy˨˩˦ ʰu˧˥kʰɤ˨˩˦ntɕi˥˩ y˨ oʊmɤŋ˧˥ʰtɕjɛn˥˩li˥˩tmjɛn˥˩tʰuɔ˧˥tʰuɔ˧˥tɕi˥˩li�
?	uən˥˧ kʰaːu˨˩˦
?貝果	peɪ˥˥kuɔ˨˩˦
@	ɕjɑŋ˨˩˦lɑŋ˨˩˦ʂu˨˩˦
a	a
a modern democracies should be “权力分立”	i˥˩ i˧˥kɤ˥˩ ɕjɛn˥˩taɪ˥˩   ʈkuɔ˧˥tɕja˥˥ ɪŋ˥˥kʰaɪ˥˥ ʂɚ˥˩ tɕʰjʐən˧˥ li˥˩feɪ˥˥li˥˩
a4紙	ɛtʂɚ˥˩ʂɚ˧˥
a:你怎么才来！b:对不起，让你久等了！	ni˨˩˦tsən˨˩˦mɤ˧˥tsʰaɪ˧˥ laɪ˥˩ tɵy˥˩pu˥˩tɕʰi˧˥ ʐɑŋ˥˩ni˨˩˦ tɕjoʊ˧˥tɤŋ˨˩˦lɤ˧
a:有人知道彼得去哪了嗎?b:我剛剛看到他手插在口袋里,在街上走。	joʊ˧˥jɤ˧n˧˥ʈʂɚ˥˥tɑʊ˥˩ pi˨˩˦ tɤ˧˥ nɑ˥˩lɤ˨ ʰmɑ˥˥ʈʂu˨˩˦ ʰkɑŋ˥˥kʰan˥˥tɑʊ˥˩  ʂoʊ˨˩˦tsa�
a:祝你好運！b:谢谢！	ʈʂu˥˩ny˧˥xɑʊ˨˩˦yn˥˩ ʰɕjɛ˥˥
aa制	aɪ˥˥ ʈʂɚ˨˩˦
agannad	tsaɪ˥˥na˥˩˦
ai监控	e˨˦ai˧˧tsian˥˥kʰʊŋ˨˩
app	əppʰi˥˧pʰi˥˧
arnold schwarzenegger	ɑŋ˥˥ɔ˥˩ ʂɚ˧˥wa˨˩˦ ɕɪŋ˥˥kɤ˧˥
a和b不能比	aɪ˥˥ʂpi˥˩pu˥˩nɤŋ˧˥pi˨˩˦
a和b是一回事	aɪ˥˥kɤ˧˥ pi˨˩˦ ʂɚ˥˩ i˥˩xweɪ˧˥
a和b是分不开的	aɪ˥˥xɤ˧˥ pʰi˥˩ ʂɚ˨˩˦ fənpu˥˩kʰaɪ˥˥
a大调小提琴奏鸣曲	˥ta˥˩ljɑʊ˥˩ ɕjɑʊ˨˩˦tɕi˥˥tɕʰɪŋ˧˥ tsʊŋ˥˩mɪŋ˧˥tɕʰy˨˩˦
a或者b	a   bi˥˥
a片	a˥˥pjɛn˥˩
a级通缉犯	aɪ˥˥ tt̚˥˥ fan˥˩
a调单簧管	aɪ˥˥tjɑʊ˥˩tan˥˥xwɑŋ˧˥kwan˨˩˦
a调高音小号	aɪ˥˥tjɑʊ˨˩˦kɑʊ˥˥ɪn˥˥ kɑʊ˥˩
a貨	ɛː˥
a货	peɪ˥˥xuɔ˥˩
a随b的⋯⋯而⋯⋯	eɪ˥˥su˥˩i˥˩   aɻ˥˩
ba gua	pa˥˥kua˥˧
baizhang huaihai	paɪ˨˩˦ʈʂɑŋ˥˩xuaɪ˧˥ haɪ˨˩˦
bbc中文网	pi˥˥ sɛ˥˥ ʈʂuən˥˩wɑŋ˧˥
beijing	peɪ˨˩˦tɕɪŋ˥˥
bi luo chun	pi˥˩luɔ˧˥ʈʂʰuən˥˥
biluochun	pi˥˩ lɔ˥ʈʂʰuən˥˥
bàba	pɑ˥˥
běijīng dàxīng guójì jīchǎng	peɪ˨˩˦tɕɪŋ˥˥ta˥˩ɕɪŋ˥˥ kuɔ˧˥tɕi˥˥ ʈʂ
b型	pese
b站	i˥˥
b超	pi˥˥ʈʂʰɑʊ˥˥
b超检查	li˥˩ tt˥ʈʂʰɑʊ˥˥ʈʂʰa˧˥
c++	se˨˩ tɕja˥˥ tɕja˥˥
cai guo qiang	tsʰaɪ˥˨kuɔ˧˥
cc派	sˈi sˈi pʰaj˨˩
cd机	sit˦i˥˧tsi˥˧
chair是单数形式，chairs是复数形式	tʃɤ̃ɪ˥˩ɚ˥˩ ʂɚ˥˩ tan˥˥ ʂu˥˩ ɕɪŋ˧˥ ʂɚ˥˩ tʃɤ̃ɥ˩ɚ˥˩sɯ˥˩ ʂu˥˩ fu˥˩ ʂu˥˩
chang’e 4	tʃˈæŋgˌeɪ fɔː
charlotte	ɕja˥˩ luɔ˥˩
che	ʈʂʰɤ
chinese	tʃaɪnˈiz
chinese traditional version:這本書需付費50圓。chinese simplified version:这本书需付费50元。this book needs to pay 50 yuan.	ʈʂɤ˥˩pu˥˩ɕy˥˥ fu˥˩feɪ˥˩u˨˩˦  ɥœn˧˥
chuang-tzu	ʈʂwɑŋ˥˥tsɯ˧
chunjie	ʈʂʰuən˥˥tɕjɛ˧˥
cnm	tsʰoʊ˥˩ ni˧˥ma˥˩
coco都可	kʰoʔ˨˩˦kʰoʔ˨˩˦
come stai?	pʰi˧˥ tɤ˧˥ʐan˥˩fɑŋ˥˥ʂɑŋ˥˥ʈʂu˥˥ʂan˥˩ i˧˥kɤ˥˩ ma˨˩˦ʐan˧˥pɔ˥˥
costa極小曲面	kɑʊ˥˥sɯ˥˥ tɕi˧˥ɕjɑʊ˨˩˦mjɛn˥˩
covid-19	kˈoʊvɪt nˈaɪnˈtiːn
ct扫描	si˥˧tʰi˥˧sau˥˧miau˧˧
ct扫描机	si˥˧ tʰi˥˧sau˨˩miau˧˧tsi˥˧
c口	sʰi˥˧
c罗	siluɔ˧˥
c罗是一名足球运动员	ɕi˥˥ lɔ˥ ʂɚ˥˩ i˥˩mɪn˧˥tsu˧˥tɕʰjoʊ˧˥ yn˥˩tʊŋ˥˩ɥœn˧˥
c語言	siː˩˦ yːjæˌ˩n˩˧
c调低音小号	si˥˩ite˥˩ti˥˩ ɪŋ˥˥sxɑʊ˥˩
c调小号	si˥˩ tjɑʊ˥˩ xɑʊ˥˩
dan qing	tan˥˥tsŋ˥˥
danwei	tan˥˥
donaldson 對角化定理	tdnlŋ ʈsœ˥˥tweɪ˥˥ tɕjɑʊ˥˥xwa˥˥tioŋ˥˥li˨˩˦
dui bu qi	tuei˥˧pu˥˩tɕʰi˧˥
dàxué	ta˥˩ɕɥɛ
dérivée de lie[slash]李導數	li˨˩˦tɑʊ˨˩˦ʂu˥˩
e	ɤ
fe 50 1.8的前玉是凹面镜	aɪ˥˥fɑ˥˥i˨˩˦ u˨˩˦lɪŋ˧˥ i˥˩tɕʰɥœn˧˥pa˥˥   ɕʈʂɚ˥˩ ɑʊ˥˩mjɛn˥˩tɕi˥˩
feng xiaogang	fɤŋ˧˥ɕjɑʊ˨˩˦kɑŋ˥˥
fengtang	fɤŋ˧˥tʰɑŋ˨˩˦
fengyun	fɤŋ˥˥yn˧˥fɤŋ˥˥yn˧˥
f调圆号	f tjɑʊ˥˩ɥœn˧˥xɑʊ˥˩
g20	tɕi˥˩ aɻ˥˩lɪŋ˧˥
gan dianˋ down dian gun 鋼彈盪單槓	kɔːŋ˥˥ tɑŋ˥˥tɑŋ˥˥ kɔːŋ˥˥ kɔːŋ˥˥
gps功能	tɕi˥˥ pʰi˥˥ ʰʈʂu˨˩˦ kʊŋ˥˥nɤŋ˧˥
guomindang	kuɔ˧˥mɪŋ˧˥tɑŋ˨˩˦
guozu	guɔ˨˩˦tsu˨˩˦
guó huà	kuɔ˧˥xwa˥˩
haiyan	hɑŋ˨˩˦jɛn˥˩
hangzhou	hɑŋ˧˥tsou˥˥
hanhua	xan˥˥xwa˥˥
hefei	xɤ˧˥feɪ˧˥
hopf 不變量	pʰu˨˩˦ pu˥˩  liœn˥˩ xuɔ˥˩ pu˥˩fu˥˥ pu˥˩  liœn˥˩
huang he	xwɑŋ˥˥xɤ˧˥
huawei	aːweɪ
hubstapler	hˈˈɑksəttlˈɛɹ
huibu	tsʰu˨˩˦pu˥˩tsʰu˨˩˦pu˥˩
hukou	xu˧˥kʰɤ˨˩˦
huāyuán	xwa˥˥ɥœn˧˥
i	i˥˩
i'm going to a party, so i need to dress up a bit.	əm gˈoʊɪn tə ə pˈɑɹti sˈoʊ ˈaɪ nˈid tˈɪ dɹˈɛs ˈʌp ə bɪt
