!אמרתי לך	ʔɑmɑː tilaħ
!ברכותינו	ilkoteˈnu
!גָּדוֹל	gadoʎ
!הַפְסֵק להיות ארגנטינאי	aːfsɾk lɛjhiːt ɑlgɛntinaj
!הדרך	atðʁɛjx
!הפעל	af˨eːl
!יש חדשות באתר	neʃt xaˈdæʃ ʃæt baʔtɑːm
!כי בא אורך, קומי אורי	kwaː ɔʁiʁ kɔm on
!תּוֹדָה	tata
(מלון (פרי	melun
(מעין (מילת יחס	mˌeːˌejn
(מעין (שם עצם	maːjˈanɑ
(מרים (פועל	beʁˈin
(מתלוננת (שם עצם	tilo nˈɛti
(נורה (שם עצם	nˈoːa
(נספח (פועל	il ʃpˈɔʁ ˈo ljˈu sˈə pˈœʁ
(נשקף (נפעל, עבר	nɪʃkɑf
(סופר (פועל	sofeˈl
(סיפרה (סִיפּרָה	sɛ pʁa
(עז (שם תואר	as
(עלה (שם עצם	ale
(פחד (שם עצם	paːxad
(צאי (צְאִי	tsiː
(צמח (שם עצם	tsemah
(רשמו (רָשמוּ	ʁaʃmu
(רשע (שם עצם	ɾɛjʃɑ
(ש"ע) מכשיר לגריסת ניירות	maxʃiːɾ ln gɹisˈat
(שם (בן נח	ʃim
(שמים (פועל	samim
(שקע (שם עצם	ʃɛkɑ
(תבהיר (תַבהִיר	tˌɐvɐʒˈiɐlˈ
(תוכל (תוּכַל	to˥˩xaj˥˩
(תלמיד	kʰæmi
(תסביר (תַסבִּיר	tas bʲir
(תעצור (תַעֲצוֹר	tɤ˧˥ lɤ˥˩˦tɕjɛ˥˥
(תקע (שם עצם	tɛka
) בדיקה תקינה ללא אנדוסקופיה	bidikata kɛŋɑli lo ɛnɗɔskɔpjɑ
-ב	be
-מ	ne
.אֲנִי לֹא יוֹדֵעַ	aniloiˈo de̞jˈa
.אורגזמה	aːlgɑzma
.איום	aiom
.אילם	ilem
.אני בַּעַד להשתחרר מבית ספר באמצע היום	ɑni beʔad diʁeχtaaʔeir mi batsˈefər β̞ajemptsɑjum
.בַּבָּית שְׂלִי יֵשׂ חָמֵשׂ חֲדְרֵי שִׂינָה	baˈbi ʃleʒˈiz xaˈmɛʃħadʁ siˈnɑh
.בוסית	osjt
.בזמן	diːzˈʌmən
.ביטוח	biʔuːjˈuː
.בירושלים מתפללים, בתל אביב נהנים, ובחיפה עובדים	jˈaʁusʃaleːnits balˈaʎɪliŋ tʁɒˈʔeʔabim hˈenʁˈjˈsan beχajjˈjˈjˈjˈjˈuʁa hˈoʁdˈi
.במהירות	vimhigˈut
.ברור	boɫoɫo
.גודל	gɔdɛl
.זר	zˈɛɹo
.חברותי	xavrote
.חוסר	xosɛr
.חיסון	kɾɛsˈon
.יהיה	jæ
.יש לי קריירה טובה	jʃ li kariˈeʁa tʊˈva
.לאמר	lomˈaʁ
.לחבר שלי יש אופניים חלופיים	ltʃi havar tʃʰ�i lʲi jˈeʃ ʔofanˈajᵐ χalufiˈjim
.לשדוד	liːʃtod
.מדיטציה	mɛdˈtˈatsia
.מובטל	muvtɛal
.מודאג	muðʁ
.מוסלמי	muzlɛmi
.מטר	mˈɛtˈʁə
.מסומם	mˈɛsumɑ̃
.מקדש	mikdas
.מקורי	nakɔli
.סטודיו	ʃtudjˈo
.צוות	tˈɛvɪt
.ציפית	sipit
.צמחוני	siːm˧xon˧iː˧
.קלטת	kˈɛllˈɛttˈ
.שנייה	ʃljɒ
.תכֵֽלֶת	tʃˈele
0	ˈefes
0phrah	wfʁa
1,000,000,000	mjˈlˈjˈad
10,000,000	assaɣamilion
1000	elef
12	sʃtɛmɛsgɛ
1797	ʔˈælʌfʃvamˈeʔottˈiʃʔˈimvɛʃʰevˈa
1950	ʔˈælˈelfnʃˈemˈɑtχʌmiʃˈin
1983	ɛlˈlɛftʃamotʃmˈɑnimvʃʰlˈoʃ
1984	ʔˈælʌftʃam�mõʔˈotʃmɔnʔˈimvʔʔʔæbˈam
1999	ɛleftʃamotɛʃimeteiʃa
2 חדרים מרווחים	ʃnˈi χʌdˈaʁim maʁˈaft χˈim
2. מה חדש	maː hadas
2016	ælpaːnʃaʃaˈsˈlɑj
2019	alpaɛnvɛtʃˈesʁˈe
3,000,000	ʃoʃamɪljˈjon
3000	θʰlˈoʃtˈɑlˈaʊʒi
4,000,000	ɑqbʔaːmɪljum
700	tʃvame̞ʔut
?	sˈimˈanʃˈɛlˈa
? מה אתה ממליץ	matam amɲitsts
?איך הייתי יכולה לדעת	ˈe̞jχa iːjit jˈeχol ælˈadʒt
?אם אין אני לי מי לי	im en a nili mila
?אתה השתגעת	ɐtˈa iʃtˈa gˈatʊ
?אתה יכול לעזור לי	atˈa jɛχol lˈa azor li
?אתה מבין עברית	tˈɑ̃ tˈə mefˈi nˈfʁit
?אתה עושה חיים, אה	tata sˈxatˈimhæ
?בן כמה אתה	penkamaːta
?האם אתה אוהב אותי	aʔimat haohevoti
?התחרפנת	saɢaɾfaŋta
?כבר הגיע הזמן האוכל	kvaɾegia azman la jixol
?לא הגיע הזמן לאכול כבר	loːj gi mæn mann xɑlk be
?לאן את הולכת	laːnə tu lexʃʔ
?למה אתה נוסע דרך פה	lˈam haʔt haːnuzˈjad jˈʁˈɛx pˈo
?מה אתה חושב	ma etˈa xoʃˈev
?מה העיניינים	maː heːneːneːm
?מה השעה	mæˈʃa
?מה נשמע	mæn ʃmæ
?מי רוצה להיות מיליונר	mi ʁoʲtsʰe liːt m�lionoʁ
[adjective] נקי	naki
`artaxerxes, אַרְתַּחְשַׁשְׂתָּא	altaxʃastɑ
`reish	dˈiːs
a posteriori	apostejɔɾij
a priori	atrɪoɾi
aaron	ʔɑhɑgɔn
aaron ciechanover	jˈaɣʁon tʃiχˈan uveɾ
aba	ɑbɑ
abaddon	aːvadon
abagtha	avavita
abaqah אבקה	afakɑ
abarim	avaɣim
abba eban	abba even
abda	afda
abdeel	afuːtəel
abdi	afdi
abdiel	afd̪iel
abdon	afˈtˈoːn
abednego	aːvɛdnego
abel	hevel
abel-meolá	�j
abel-mizraim	aˈvˈlmɪtsʁˈaj
abhôdhâ	avoda
abi-albon	vialvon
abia	ˈavia
abiasaph	aviːɾˈsɑf
abiathar	evjatau
abida	aviða
abidan	afit̪ant̪
abidán	avidarnə
abieezer	aviezea
abiel	afiʝ
abiezrite	avihaezoɣi
abiezrites	avjezel
abigail	ˌɐvigˈaɪm
abigail of carmel	havigai̯l hakaːr mɛdult
abihail	ʔavikai
abihu	aziːtʃiːzi
abihud	avihud
abijah	avia
abijam	aβ̞iam
abimael	tafimaːʔəl
abimelec	abimeles
abimelech	aʋimʰ
abinadab	avinadav
abinoam	avinoˈam
abiram	avram
abisai	əbʃɑːiː
abishag	vjsau
abishai	au̯sai
abishalom	havʃalum
abishua	avɪʃua
abishur	aviʃˈaːl
abital	afitˈal
abitub	auvjtˈuv
abiyonah אביּונה	a vjɔna
abner	vɛnɛɔ
abraham	avreˈɛm
abraham yehoshua	ævrɑːmj hʃuːɑ
abram	asˈm
abravanel	abɾaɣ̞bãn̪el
abraão	ɛkɔvˈs
abri	avʁˈi
absalom	au̯xˌalom
absolum	afʃalum
abtalion	avtaleon
abu tor	a botoʁ
abuhav	abuhav
abutbul	aːbutbuːr
acbor	aqbɯ̞ɫ
ach'av	afuɢɑlɑr
achai	ˈaxˈhi
achan	ˈaxan
acharai	axɔgaj
acharchel	ˈɑːxɑgˈʃel
acharit hayamim	ˈaxaɾit hajamim
acharit-hayamim	χɑːɣeetajɾmai
acharithayamim	ʔˈaχaʁitjamˈim
achashverosh	ˈaχasveɣ̞oʃ
achbor	axboː
achi	baχˈi
achilat	axilˈˈtˈ
achima‘atz	ˈaximˌaʕ
achino‘am	ˈaxinˈoːam
achish	ɑxˈiʃ
achituv	axitʁuf
achor	ˈaxo
achoti	axoʃti
achowth	axˈɔt
achut	nˈɑtklˈɪɹəgˈeɪn
acoti	əlˈʌpiˈɪznˈɑtklˈɪɹ
acre, israel	ʔakko isʁeːl
ad-daylami	ðəpˈiːtnˈɑtklˈɪɹɪ
adah	adːa
adaiah	adaja
adam	adˈɑm
adam and eve	adam vʲe hava
adam ha-ḳadmoni	aadama kaðamon
adam ila'a	ɹipˈit nˈɑt klˈɪɹ
adam kadmon	að̞ãm kað̞mon
adam levine	a daˈlevini
adamah	adˈɑmɑ
adar	atːaʁo
adara	adara
adbeel	atbɛl
addar	ada
addi	atːi
addon	adon
adi rosenblum	a dˈe ʁənˈnˈblɔn
adiel	adjˈe
adina	adina
adino	ad̪inˈo
adli yaish	aðli jɑ iʃ
adnah	ʔˈnɑx
adojah	nˈɑtklˈɪɹɪ
adom	ɐdˈɔm
adonahi	aðɔnaɛ
adonai	adonaj
adonai eloheinu	aðonai elogənum
adonai eḥad	adonai ʔ ʔ
adonaj	adonai
adonay jireh	a d̪wnaj jɾʝɛ
adoneinu	adoneno
adoni-zedec	adonitsɛdɛk
adoni-zedek	adonɨtsɛdɛ
adonia	adˈoniːjɐɐdˈoniːjɐhˈo
adonibezek	adonivɛse
adonijah	ad̪oːniːa
adonikam	adnikam
adoniram	adˌoniɾˈam
adoniyahu	ad̪oniːjɑhu
adonizedek	adɔnitsɛdɛk
adonolam	dˈɔnˈɑvˈlam
adoram	adoɣˈam
adrammelech	adɔɾɑ̃ɛlɛʁ
adriel	abɾiɛl
adulami	udulˈaˈ
adullam	ʕadˈlˤam
aduma	adumˈa
adumim	adumim
adummim	admim
adummin	adumimɛ
adumot	adummˈɔt
af	f
afarsek	kəlsɛk
afikoman	afikomɑn
afora	afoa
aforim	afoɣˈim
afula	afulə
agag	agˈag
agas	agas
agee	agɛ
ageze guadie	ke zɛ gʊadħi
aggadah	agda
agranat	agranat
agudal	aagudˈaːl
agur	aguɾ
ah-tah	tɑː
aha	hah
ahab	ɑxˈʔav
ahabah	ahva
ahabian	laesklɾeɾe
aharon avnon	jɑɣːon avnˈon
aharon doron	ɑhɣon doɣon
aharon yariv	jɑɾɔn jɑɾiːv
aharonim	ahɑɣmiːm
aharonov	ahɣõnʊv
aharony	ɑhɣonj
ahasuerus	ˈaxaʃeveɾɑʃ
ahasureus	ˈaχæʃveɣ̞ɑʃ
ahat	ˈɑhɑ
ahava	ɑhɑvɑh
ahavah	tɑːvˈhˈ
ahavat	ahbat
ahavat haemet	ahvatˈa yˈmɪt
ahavá	ɑhɑvɑ
ahayah	æhʲjɛ
ahayah ahshar	mul̪t̪aɾiːɕʰɪnaːlɛnʝ
ahaz	ɑhɑz
ahaziah	ˈaħaziːaahu
ahchwath	axvæt
aheb	ˌɐʁɨvˈɛ
ahiam	ɑħiːʔam
ahiezer	ˈaxiezeɾ
ahihud	axjɑhˈud
ahijah	axˈja
ahikam	axikam
ahimaaz	aximts
ahiman	ahiman
ahimelech	aximeʎəx
ahinadab	ɑçˈinˈadʒˈɑv
ahinoam	axinom
ahio	axjo
ahira	axigɑː
ahisamach	axsamax
ahisamak	aħisɑːmaːx
ahishar	axiʃaːv
ahithophel	ˈaχitˈofˈeʎ
ahitub	axitˈuv
ahkenaten	laqnai̯ðɪ̞n
ahoah	axoʃ
aholiab	poːhoːlijˈav
ahouvi	ahwvˈi
ahroots	aɾˈʊts
ahuvati	ˈaɣovatiː
ahuvi (beloved)	ɑgævi
aijalon	ajãlõŋ
ain	aɪn
ain ghazal	ʔæn gəzˈɑl
ain sakhri	en sæxˈri
ain-soph	ɪnsˈɔf
akaba	akaˈba
akavish	ɐkˈa-vˈjʃ
akeda	aqiga
akedah	ɑkɛda
akeidah	akejde
akh	ax
akharon	ħaɣon
akhot	aχot
akko, israel	ako
akkrabbim	ʔkʰam
akkub	ɐkˈuvʊ
akrabbim	akrabim
al-lo-davar	ɑlˈodˈəβˈa
alav hashalom	alˈav haʃalˈom
albert antebi	albeɾt ãn tɛbe
alef	alˈɪf
aleh עלה	ˈale
aleichem	jiseishem
aleinu	aleino
alemeth	alimˈit
aleph	alɛf
aleph-bet	ɑlˈɑkfʔɪtˈtˈt
aletchko	alɛtʃko
alex chubrevich	aɫɛkstʃˈubrɛvˈitʃ
alexander	alɛksãn̪d̪o
alexander gerschenkron	lɛksˈaːdˈʒˈ
alexander shatilov	alɛksˈandɛɾ ʃatˈilˈɔv
alexander the great	ˈalikˈsʌnðˈeʁ háagadˈol
alexandroni	ɑlɛksɑndɠɔnj
alija	ɑliɑ
alitz	ɔpˈeɪtnˈɑtklˈɪv
aliya	ɑːlɪjɑ
aliyah	alia
allon	alon
allona	alona
allonia	alonja
allup	aluf
alma sadé	alma sɛ dɛ
almodad	almɔddad
almon-diblathaim	almondɛuletˈaj
alona alexander	alona alɛksandɛ
alona koshevatskiy	alona koʃɛvatski
alpayim	aːlbˈɑʃi
am israel chai	ˈɑːm israˈel xˈaj
am oved	amoved
am-ha’aretz	ɑːmˈhɑːʔaʁits
amalec	aːmɑle
amalek	amɛlɛk
amalekites	amalɛkim
amalya	amalia
aman	aman
amanda	amˈanda
amar	amaɾ
amariah	amatajɑ
amarit	amaʁit
amaryah	ɑ̃ˈmaɾˈja
amasa	amas
amasai	amasaj
amashai	amaʃsaːi
amasiah	amasja
amaziah	amatsia
ambatya	ambatˈja
amein	amˈɛn
amekhayeh	ɑme̞χɑjɛ
amen	amˌɛl
amichai	ɑːmiːxˈaɪ
amidror	ɑ̃nˈidˈoɾ
amir	amjɾ
amir jaffe	la mil ʝafe
amir nachumi	ʔamiː jɛʁ nɛxˈomij
amir yadlin	amjɾ jadlʲn
amiram levine	ɑːmiːʁɑːm lə- vˈin
amit bitton	amik biton
amit ivry	amˈit ivrˈi
amit kleinmann	la mɪt klaɪnman
amit reis	ɐˈmit ɹˈais
amit simhon	ɑˈmiːt simeˈon
amittai	amitai
amma’us	ɑːmˈaʊz
ammiel	amiel
ammihud	amihud
amminadab	amenadav
amminadib	aminadiv
ammishaddai	ɑːmiːʃɑːdɑːi
ammizabad	ɐmˌisɐvˈad
ammon	amon
ammonite	amonik
amnon	amnɔn
amnon kapeliouk	amnɔ̃ kapiliuk
amnon reshef	amnɔ̃ ɣ̞ajɣ̞sẽb
amon	amon
amoraim	amoɣaime
amorites	emorim
amos	am
amos horev	amɛnˈs xorel
amos talmon	la mos d̪el mon
amotz	amots
amoz	amots
amram	lamʁˈam
amram blau	amɛn β̞l̟au̯
amraphel	amɾafel
amud	avmˈod
amunah	eɾapuʁdˈeɪrˈtɑʊnəl
amutah	amut̪a
amzi	amtsi
ana tzelniker	kona tsɛlnɪkɛw
anael	ɑnɑæl
anah	ana
anahnu	anaxno
anak	anˈak
anakhnu	anɑxnɑ
anakim	anakima
anan	anan
ananas	anɑˈnɑsˈanɑːnɑːs
ananias	χɑːnɑːnijæ
anastasia gloushkov	ɑnɛstɑsjɑ pɔlʃkov
anat	anːat
anatevka	anatɛfka
anath	anˈat
anaël	anael
andrea murez	aɗɾe amɾuβ̞ɛz
andy ram	nð̞jɣ̞am
aner	aneɾ
ani	ani
ani mitga'a'ga'at lecha	anɛmɛ ɗɠɑ ɣaːt ɛlɛ
ani mitgagat elecha (i miss you (f to m)	æn mətɪkɑgɑt tʰiː zænæm χɑmɑ mɪtʰiːne̞ɒːɑt
ani ohev otach	ə pavis e hovotatʃ
ani ohev otcha	anːi ɔhɛvɔtʃa
ani ohev otkha	anʲiː ɔhɛv ɔtsɑ
ani ohevet otach	annˈi oʒˈefe tu taˈmi
ani ohevet otkha	nˈi jˈʊɹ hˈævɪt ɔpkaħ
ani ohevet otkha (f to m)	ani ɔhɛvɛt ɔpkɑ
ani ra'ev	ʔan ʁaʕs
aninut	aninut
aniva	aniva
annas	ˈænə
antioch	antioˈxia
antiochus	antiofus
anu	ʔanruː
anyah	anja
apollos	apolon
apple	tɛpuɐ̯
aqedah	akeda
arabah	əɾɑvɑ
arad	aʁˈad
aram	abam
aram naharaim	ram naħrɑim
aran	an
araunah	aːraːvnɛ
arava	œʁvˈa
arba	aʁba
arbathite	ˈaɣolʁˈitˈ
arbe briut	aɾbʁi bʁiuːt
arcavi	ɹˈɑppˈidnˈɑtklˈɪɹ
archippus	aɣaçipos
archite	akːi
ard	ˈaɪld
ardon	aɾdɔn
arel	ʔaʔˈl
aretha	nˈɑtklˈɪɹ
arieh	ɑʁjˈe
arieh keren	aɣriei karen
ariel	ʔaʁɪl
ariel 'arik' sharon	ɑɾiʔʔe̞l ʔaɢik ʃaɣon
ariel sharon	aɾiʔal ʃaɣon
arioch	ɑq
ari’el	aʁjˈɛl
armoni	ʁmoni
arnak	ʁmq
arnon	aɣnun
arodi	ɹˈɛpˈitnˈɑtklˈɪɹ
aron kodesh	ɑvɔn kʊˈdˈæsh
arpachshad	ʔɑɣəpəxiˈʃad
arpad	aʁpad
arphaxad	aɣpɑkhˈʃad
arrásh	mˈatklˈɪɹəgˈeɪn
artarxerxes	tɾjɑw˧˥tfɛqt˥˥ʰtjɛ˥˩y˧˥tntɕʰy˥˩ʐɤŋ˧˥ʐan˧˥ʈʂʰʊŋ˨˩˦xɤ˧˥tɕʰi˧˥tɕʰi˧˥tɕʰi˧˥tɕʰi˧˥t
artaxerxes	aɾtaxˈaʃta
artsa alinu	ˈaɾˈtsˈa alino
arukhat boker	ʁuhat boːkɛɺ
arukhat erev	ɑguxat ʔɛʁv
arukhat tsohorayim	ɑruhaʈ tsa haɾaːjim
aruwm	ɾˈum
aryeh lammatteh yehudah	ʁiˈe lˈmˈtˈɛ ˈʒeuˈda
aryeh lavon	æl jɔːlɔːvɔːm
aryeh shalev	aɣie ʃalev
asa	ejsɑ
asa kadmoni	asa kadmoni
asah	ɛsta
asahel	asɾaʎɛl
asahel ahi joab	asʔʔel axi joʔav
asahel עשׂהאל	assˈaːle
asaiah	ɹəpˈitnˈɑtklˈɪɹ
asaph	asˈa
asdode	æʃdɔd
asenappar	asˈɔnˈlapˈaʁ
asham	aʃjɛmm
ashamnu	tʃasamno
ashasuerus	æxæʃmiːɾoʃt
ashdod	ʔˈaʃnɔːd
ashekina	ˈaʃxinˈa
asher	aʃˈeɾ
asher yeheyeh	a ʃariħie
ashhur	aʃˈoː
ashira	aʃiɾa
ashkelon	aʃkelon
ashkenasim	aʃkɛnɑːzjm
ashkenaz	aʃkˈeˈnaz
ashkenazi	ɑʃkɛnəzi
ashkenazim	æʃkɛnɛziŋ
ashpenaz	aʃpeŋaz
ashtaroth	aʃtɑɣoːt
asls	ɹˈæpiːtnˈɑtklˈɪɹ
asnapper	asnapau
asor	asˈɔʁ
asriel	al
assaf simhoni	aːsˈaf simtʃan
asshur	tʃu
assi cohen	asɪ koːɦɪn
assiah	pʰiːt˨˩lɤ˥˩sxw˧˥txu˧˥ʐan˧˥ʈʂuː˨˩˦tm˥˩j˧˥ʈʂuː˨˩˦
asur	aːsˤoː
ata rotze leshalem bemzuman	tˈe ɣotˈe lˈa ʃalˈam bi mˈzumˈan
atah	ata
atah gibbor le olahm	tɑgːibuːʁ ləʕʋlɛm
atalia	ætˈæliːæ
atara	tɑtɑ
atarah	aːtːaɣːa
atarot	atɑɢut
atem	atːem
aten	aten
ateret	atːeɾet
athaleyah	tɪpitnɒtklˈɪɹ
athalia	talia
athaliah	ataliːa
athar עתר	dˌiːzə tˈɑːl
atias	atias
atoh	tˢaː
atsab	atːav
atseret	atsɛɾets
atsilut	atsiluttu
attalia	aːlia
auhsey	ˈɑɹjˈuhˈisiə
avadim	jˈəvədˈiːm
aval	avˈaj
avanim	ɑvɑnɛm
avatiach	avˈatiɑx
avatiakh	avatia
avelut	avˈelˈut
avi	avi
avi rikan	afiɾiːkˈan
avichai mandelblit	io˧ːixˈaj mndˈe
avidor	aviðɔ
aviel	afiel
aviela	aviˈela
aviem sella	a vi am sella
avigail	avigajl
avigdor 'yanush' ben-gal	ʔavikdoʁ januʃ bẽŋgai
avigdor lieberman	a vikdoɾ ljbɛrman
avinadav	avinadɑv
avinu	avino
avinu malkeinu	javino malkino
avishai	avisai
avishai margalit	jˈaʋiʃaj maʁgəʎˈit
avishay	ˈabˈiʃˈaɪ
avital	a
avital leibovich	a vital lejbovitʃ
aviv	ˌɐvˈivɐ
aviva	aziza
avivim	avivim
aviyv	abˈiv
avkat kvisa	avkat gvisa
avner dorman	afɛnerdorman
avodah	ambalda
avoid harow	ɹˈipˌit nˈɑt klˈɪɹ
avraam "albert" mandler	ɑvɑ hɑmɑ aɓuʔøt mɛnɟə
avraham	æfraːm
avraham "bren" adan	abʁaam bɾẽn ãmb t̪ãn̪t̪
avraham havilio	ˈavrehem havalˈio
avraham mordechai alter	ɑfraɣɑn maɣdɑxɑj ɑlɯtɑɾ
avraham slecter	ʔɑɾɹɑhɑ́m sləktər
avram grant	aɾfam grand
avreque	avʁˈɛk
avrom	ˈɛmvrˈom
avvim	avime
awad	awˈɔad
aya	aja
ayala	ajɛla
ayeka	ajeka
ayelet	ajˈlet
ayeleth	ajelɛt
ayellet	ajjəln
ayin	ajn
ayin tahat ayin	ɑjn da ħas ɑjn
azal	atsalm
azaliah	tʃlja
azariah	ɑzɑɣɯjɑ
azazel	esazel
azaziah	asazia
azekah	azeka
azel	atsɛl
azmaveth	asmavet
azotus	aʃtod
azriel	æzʁiːl
azur	ɑzuɾ
azzan	azan
azzaria	aːlzaɣajɑ
azzur	azoː
aşa	esa
b'ha'alotkha	beːʔabʔalmædħam
b'hatzlachah	beːʔatsalˈaxa
b'midbar	dormidvɐˈl
b'mitzvotav	bɨmjiːtsʲvɔtɔv
b'rakhah	bɾɪxˈʌ
b'rakhak	əpˈitnˈɑtklˈɪɹ
b'resheet	beʁaʃiʃt
b'rit hachayim	iːt haχajːˈi
b'rit hadasha	bɾiːt xadʃa
b'rit hadashah	bʁiːtadˈsˈe
b'rit-milah	iedʁeʝtɛmila
b'tselem	β̞et̪selem
b'yachad	beːˈjɑːxæd
ba'ad	bʕad
ba'al	bˁaːl
ba'al kriah	baːlˈlʏkɹiːa
ba'olam	baːʔulam
ba-rukh ha-bah	bʊ̞ʁʊ̞χ haˈda
baal	bˈaɪnən
baal hasulam	bʔal asolam
baal perazim	da ɑl ɢɑtsim
baal teshuva	bal tʃuba
baal-meon	maħlme̞ɾɔn
baal-peor	baʕalpɛːˈɔ
baal-perazim	baːlpɾatsˈim
baal-shalishah	baʔalʃaːlʔɪk
baalei	baːle
baalim	bɛɾlˈiːn
baalis	balˈis
baalshem	laʔalaʃa
baana	baːna
baanah	baːna
baasha	baʃa
bach	bˈax
bad	baˈd
bahar-bechukotai	bɛxau̯bɛxukutaj
bahur	baxa
bahura	baxoɣa
bahurim	moʁˈm
bahurot	daxoɣe
bakar	dakala
bakbuk	bkbuk
bakhuts	baχoːs
balaam	bilaːm
baladan	balaːdaːn
balak	balak
bamidbar	bamitoˈbaɔ
bamoth	bamɔt
bamromim	bamɣʊmʲimə
bam’romim	bamoɣomɛt
banim	bˌɐnˈimʊ
banot	bənˈɑt
bar rafaeli	baʁ ʁefʔʁeli
bar savir	baʁ sə vˈɛl
bar timor	bˈaɾtɪmˌɔ̃
bar-jona	balioˈna
bara	baɣa
barachel	baɾɑʃel
barack	abˈak
barak	baɣˈa
barak bakhar	baɾak beχaɾ
barak itzhaki	ɓɑɾɑk itʃχakhi
barech	baɣˈeχ
barekh	bˈaʁiʁ
bari	baʁˈe
bariah	bˈɑɣiɐx
barlaam	t̪elaãmnot̪sãn̪t̪
barmitzvah	bˈɑɫumˈɛkˈɛvˈa
barnabas	bɑɣnɑba
barouch	bʁˈoːx
baroukh	pɑːrʊx
barrach	bˈaɣ
baruch	bɔʁuʁ
baruch atah, adonai eloheinu, melech ha'	weəɹ˧˥ʈɛːn˧˥ʈuː˧˥ʂɑŋ˥˩ʈuː˧˥ʈʂɑŋ˥˩ piːˈn ʈuːn˧˥ɕjɛː˥˩liː˩˧ʈʂʊŋ˥˩liː˩˧ʈʂɚˈ
baruch fischhoff	faɣoʁ fiʃ hof
baruch goldstein	baʊɦ gɔldʃtˈeːn
baruch ha-shem	pauː xaʃem
baruch haba	daɣuχ adə
baruch hashem adonai	baɣuχ haʃem adonaːj
baruch shel chanukah	babɔx ʃɛl χamwka
baruchi	bɑɾˈʊxˈʃi
baruj aba	baɣuχ haba
barukh	bɐlˈa
barukh atah	baoːx ɑtˈan
barukh atah ha-shem	baɾˈux atːa hʃm
barzillai	bɾaθilaj
basar	basaˈ
basemath	boːsmɑːʈ
bashamayim	baʃamajim
bashan	baʃaːn
bat zion	battsion
bat-doda	batdʒoˈda
bat-kol	batˈkɑl
bat-p’nu’el	�t
batah	btəx
batata	batatabatata
bath-rabbim	batˈaɾbim
bathsheba	batʃeva
batim	batim
batmuna	akompano
batmunah	batɯmˈbɯlɯ
batsal	bəˈtsɑl
batsheva	datʃeva
baurim	bˈɐ̃uˌɾiŋ
bayamim	bˌaɪəmˈiŋ
bayit	bai̯t
ba‘al-zibbul	baʕalzɛvul
ba‘alim	balim
bdikat	bədˌikat
be patient	tʃiːz sˈɛvˈlˈɛni
be'er sheva	bʲeʔʁ tʃʰβ
be'ma	bama
be'ohel	b̞e̞ʔoɣ̞il
bealiah	beˈalia
becher	bˈeχt
bechukotay	bexugɑkˈakɑʝ
bed	mitˈa
